Abbeville,"29,620",SC,Abbeville,34.18,-82.38
Calhoun Falls,"29,628",SC,Abbeville,34.10,-82.58
Donalds,"29,638",SC,Abbeville,34.33,-82.34
Due West,"29,639",SC,Abbeville,34.33,-82.40
Lowndesville,"29,659",SC,Abbeville,34.21,-82.65
Branch,"70,516",LA,Acadia,30.34,-92.35
Church Point,"70,525",LA,Acadia,30.40,-92.22
Crowley,"70,526",LA,Acadia,30.21,-92.38
Crowley,"70,527",LA,Acadia,30.23,-92.30
Egan,"70,531",LA,Acadia,30.25,-92.50
Estherwood,"70,534",LA,Acadia,30.18,-92.46
Evangeline,"70,537",LA,Acadia,30.27,-92.55
Iota,"70,543",LA,Acadia,30.33,-92.50
Mermentau,"70,556",LA,Acadia,30.19,-92.57
Morse,"70,559",LA,Acadia,30.13,-92.48
Rayne,"70,578",LA,Acadia,30.23,-92.27
Accomac,"23,301",VA,Accomack,37.72,-75.68
Assawoman,"23,302",VA,Accomack,37.87,-75.53
Atlantic,"23,303",VA,Accomack,37.91,-75.51
Belle Haven,"23,306",VA,Accomack,37.56,-75.87
Bloxom,"23,308",VA,Accomack,37.83,-75.62
Chincoteague Island,"23,336",VA,Accomack,37.93,-75.36
Craddockville,"23,341",VA,Accomack,37.58,-75.86
Davis Wharf,"23,345",VA,Accomack,37.55,-75.88
Greenbackville,"23,356",VA,Accomack,38.01,-75.40
Greenbush,"23,357",VA,Accomack,37.77,-75.67
Hacksneck,"23,358",VA,Accomack,37.64,-75.87
Hallwood,"23,359",VA,Accomack,37.88,-75.60
Harborton,"23,389",VA,Accomack,37.66,-75.83
Horntown,"23,395",VA,Accomack,37.97,-75.47
Jenkins Bridge,"23,399",VA,Accomack,37.92,-75.62
Keller,"23,401",VA,Accomack,37.62,-75.76
Locustville,"23,404",VA,Accomack,37.65,-75.67
Mappsville,"23,407",VA,Accomack,37.85,-75.57
Mears,"23,409",VA,Accomack,37.87,-75.64
Melfa,"23,410",VA,Accomack,37.64,-75.75
Modest Town,"23,412",VA,Accomack,37.79,-75.60
Nelsonia,"23,414",VA,Accomack,37.82,-75.58
New Church,"23,415",VA,Accomack,37.95,-75.51
Oak Hall,"23,396",VA,Accomack,37.92,-75.56
Oak Hall,"23,416",VA,Accomack,37.92,-75.54
Onancock,"23,417",VA,Accomack,37.71,-75.75
Onley,"23,418",VA,Accomack,37.67,-75.70
Painter,"23,420",VA,Accomack,37.58,-75.81
Parksley,"23,421",VA,Accomack,37.77,-75.64
Pungoteague,"23,422",VA,Accomack,37.63,-75.81
Quinby,"23,423",VA,Accomack,37.54,-75.74
Sanford,"23,426",VA,Accomack,37.92,-75.68
Saxis,"23,427",VA,Accomack,37.93,-75.72
Tangier,"23,440",VA,Accomack,37.82,-75.99
Tasley,"23,441",VA,Accomack,37.71,-75.70
Temperanceville,"23,442",VA,Accomack,37.90,-75.55
Wachapreague,"23,480",VA,Accomack,37.60,-75.69
Wallops Island,"23,337",VA,Accomack,37.92,-75.49
Wattsville,"23,483",VA,Accomack,37.94,-75.50
Withams,"23,488",VA,Accomack,37.95,-75.60
Boise,"83,701",ID,Ada,43.60,-116.27
Boise,"83,702",ID,Ada,43.63,-116.21
Boise,"83,703",ID,Ada,43.66,-116.25
Boise,"83,704",ID,Ada,43.63,-116.30
Boise,"83,705",ID,Ada,43.59,-116.22
Boise,"83,706",ID,Ada,43.59,-116.19
Boise,"83,707",ID,Ada,43.61,-116.20
Boise,"83,708",ID,Ada,43.46,-116.24
Boise,"83,709",ID,Ada,43.57,-116.29
Boise,"83,711",ID,Ada,43.46,-116.24
Boise,"83,712",ID,Ada,43.60,-116.16
Boise,"83,713",ID,Ada,43.63,-116.34
Boise,"83,715",ID,Ada,43.46,-116.24
Boise,"83,716",ID,Ada,43.53,-115.97
Boise,"83,717",ID,Ada,43.46,-116.24
Boise,"83,719",ID,Ada,43.46,-116.24
Boise,"83,720",ID,Ada,43.46,-116.24
Boise,"83,722",ID,Ada,43.46,-116.24
Boise,"83,724",ID,Ada,43.62,-116.20
Boise,"83,725",ID,Ada,43.46,-116.24
Boise,"83,726",ID,Ada,43.46,-116.24
Boise,"83,728",ID,Ada,43.61,-116.20
Boise,"83,729",ID,Ada,43.46,-116.24
Boise,"83,731",ID,Ada,43.46,-116.24
Boise,"83,732",ID,Ada,43.46,-116.24
Boise,"83,735",ID,Ada,43.61,-116.20
Boise,"83,756",ID,Ada,43.46,-116.24
Boise,"83,799",ID,Ada,43.61,-116.20
Eagle,"83,616",ID,Ada,43.71,-116.36
Garden City,"83,714",ID,Ada,43.73,-116.28
Kuna,"83,634",ID,Ada,43.49,-116.38
Meridian,"83,642",ID,Ada,43.62,-116.40
Meridian,"83,680",ID,Ada,43.61,-116.39
Star,"83,669",ID,Ada,43.70,-116.50
Adair,"50,002",IA,Adair,41.51,-94.64
Brashear,"63,533",MO,Adair,40.20,-92.43
Breeding,"42,715",KY,Adair,36.96,-85.40
Bridgewater,"50,837",IA,Adair,41.26,-94.67
Bunch,"74,931",OK,Adair,35.68,-94.76
Cane Valley,"42,720",KY,Adair,37.18,-85.32
Columbia,"42,728",KY,Adair,37.12,-85.27
Fontanelle,"50,846",IA,Adair,41.29,-94.54
Gibbs,"63,540",MO,Adair,40.10,-92.41
Glens Fork,"42,741",KY,Adair,37.01,-85.25
Gradyville,"42,742",KY,Adair,37.09,-85.47
Greenfield,"50,849",IA,Adair,41.31,-94.44
Greentop,"63,546",MO,Adair,40.34,-92.56
Kirksville,"63,501",MO,Adair,40.19,-92.59
Knifley,"42,753",KY,Adair,37.23,-85.17
Novinger,"63,559",MO,Adair,40.27,-92.72
Orient,"50,858",IA,Adair,41.22,-94.37
Proctor,"74,457",OK,Adair,36.03,-94.76
Stilwell,"74,960",OK,Adair,35.81,-94.63
Watts,"74,964",OK,Adair,36.12,-94.63
Westville,"74,965",OK,Adair,35.99,-94.59
Abbottstown,"17,301",PA,Adams,39.89,-76.99
Adams,"53,910",WI,Adams,43.90,-89.82
Arendtsville,"17,303",PA,Adams,39.92,-77.30
Arkdale,"54,613",WI,Adams,44.05,-89.90
Aspers,"17,304",PA,Adams,39.98,-77.23
Aurora,"80,011",CO,Adams,39.74,-104.82
Aurora,"80,019",CO,Adams,39.77,-104.71
Aurora,"80,040",CO,Adams,39.73,-104.83
Aurora,"80,042",CO,Adams,39.73,-104.83
Aurora,"80,045",CO,Adams,39.75,-104.84
Ayr,"68,925",NE,Adams,40.44,-98.44
Bendersville,"17,306",PA,Adams,39.98,-77.25
Benge,"99,105",WA,Adams,46.86,-118.16
Bennett,"80,102",CO,Adams,39.76,-104.43
Bentonville,"45,105",OH,Adams,38.75,-83.61
Berne,"46,711",IN,Adams,40.67,-84.93
Biglerville,"17,307",PA,Adams,39.93,-77.29
Blue Creek,"45,616",OH,Adams,38.78,-83.33
Brighton,"80,601",CO,Adams,39.94,-104.79
Brighton,"80,602",CO,Adams,39.96,-104.91
Brighton,"80,603",CO,Adams,39.95,-104.77
Camp Point,"62,320",IL,Adams,40.03,-91.08
Carbon,"50,839",IA,Adams,41.05,-94.82
Cashtown,"17,310",PA,Adams,39.89,-77.36
Cherry Fork,"45,618",OH,Adams,38.89,-83.62
Clayton,"62,324",IL,Adams,40.01,-90.96
Coatsburg,"62,325",IL,Adams,40.06,-91.17
Commerce City,"80,022",CO,Adams,39.83,-104.91
Commerce City,"80,037",CO,Adams,39.81,-104.93
Corning,"50,841",IA,Adams,40.99,-94.74
Council,"83,612",ID,Adams,44.76,-116.45
Decatur,"46,733",IN,Adams,40.83,-84.93
Dellwood,"53,927",WI,Adams,43.96,-89.94
Denver,"80,221",CO,Adams,39.84,-105.00
Denver,"80,229",CO,Adams,39.87,-104.92
Denver,"80,233",CO,Adams,39.90,-104.94
Denver,"80,234",CO,Adams,39.91,-105.01
Denver,"80,260",CO,Adams,39.87,-105.00
Dupont,"80,024",CO,Adams,39.84,-104.92
East Berlin,"17,316",PA,Adams,39.96,-77.01
Eastlake,"80,614",CO,Adams,39.92,-104.96
Fairfield,"17,320",PA,Adams,39.78,-77.36
Fowler,"62,338",IL,Adams,39.99,-91.25
FPO,"96,373",AP,Adams,19.11,-155.80
Friendship,"53,934",WI,Adams,43.99,-89.81
Gardners,"17,324",PA,Adams,40.04,-77.19
Geneva,"46,740",IN,Adams,40.61,-84.96
Gettysburg,"17,325",PA,Adams,39.83,-77.22
Golden,"62,339",IL,Adams,40.12,-91.03
Grand Marsh,"53,936",WI,Adams,43.89,-89.71
Hastings,"68,901",NE,Adams,40.59,-98.39
Hastings,"68,902",NE,Adams,40.59,-98.40
Henderson,"80,640",CO,Adams,39.90,-104.87
Hettinger,"58,639",ND,Adams,46.06,-102.79
Holstein,"68,950",NE,Adams,40.45,-98.65
Idaville,"17,337",PA,Adams,40.02,-77.20
Indian Valley,"83,632",ID,Adams,44.55,-116.44
Juniata,"68,955",NE,Adams,40.59,-98.52
Kenesaw,"68,956",NE,Adams,40.62,-98.66
La Prairie,"62,346",IL,Adams,40.16,-90.98
Liberty,"62,347",IL,Adams,39.89,-91.09
Lima,"62,348",IL,Adams,40.18,-91.38
Lind,"99,341",WA,Adams,46.96,-118.71
Linn Grove,"46,769",IN,Adams,40.65,-85.03
Littlestown,"17,340",PA,Adams,39.75,-77.10
Loraine,"62,349",IL,Adams,40.15,-91.21
Lynx,"45,650",OH,Adams,38.74,-83.43
Manchester,"45,144",OH,Adams,38.70,-83.62
Mc Knightstown,"17,343",PA,Adams,39.87,-77.33
Mc Sherrystown,"17,344",PA,Adams,39.80,-77.02
Mendon,"62,351",IL,Adams,40.09,-91.29
Mesa,"83,643",ID,Adams,44.63,-116.45
Monroe,"46,772",IN,Adams,40.70,-84.84
Natchez,"39,120",MS,Adams,31.55,-91.36
Natchez,"39,121",MS,Adams,31.47,-91.40
Natchez,"39,122",MS,Adams,31.56,-91.40
New Meadows,"83,654",ID,Adams,44.99,-116.29
New Oxford,"17,350",PA,Adams,39.88,-77.06
Nodaway,"50,857",IA,Adams,40.95,-94.87
Orrtanna,"17,353",PA,Adams,39.88,-77.38
Othello,"99,344",WA,Adams,46.85,-118.99
Paloma,"62,359",IL,Adams,40.04,-91.21
Payson,"62,360",IL,Adams,39.82,-91.26
Peach Glen,"17,375",PA,Adams,39.89,-77.21
Peebles,"45,660",OH,Adams,38.99,-83.37
Plainville,"62,365",IL,Adams,39.80,-91.14
Pleasant Mills,"46,780",IN,Adams,40.78,-84.84
Preble,"46,782",IN,Adams,40.83,-85.01
Prescott,"50,859",IA,Adams,41.06,-94.59
Quincy,"62,301",IL,Adams,39.93,-91.38
Quincy,"62,305",IL,Adams,39.96,-91.30
Quincy,"62,306",IL,Adams,39.94,-91.41
Reeder,"58,649",ND,Adams,46.11,-102.94
Ritzville,"99,169",WA,Adams,47.13,-118.40
Roseland,"68,973",NE,Adams,40.46,-98.56
Seaman,"45,679",OH,Adams,38.96,-83.59
Sibley,"39,165",MS,Adams,31.47,-91.40
Strasburg,"80,136",CO,Adams,39.78,-104.27
Thornton,"80,241",CO,Adams,39.87,-104.97
Ursa,"62,376",IL,Adams,40.08,-91.37
Washington,"39,190",MS,Adams,31.58,-91.30
Washtucna,"99,371",WA,Adams,46.82,-118.29
Watkins,"80,137",CO,Adams,39.76,-104.58
West Union,"45,693",OH,Adams,38.80,-83.53
Westminster,"80,030",CO,Adams,39.83,-105.04
Westminster,"80,031",CO,Adams,39.88,-105.03
Westminster,"80,035",CO,Adams,39.84,-105.04
Westminster,"80,036",CO,Adams,39.84,-105.04
Winchester,"45,697",OH,Adams,38.94,-83.67
York Springs,"17,372",PA,Adams,40.01,-77.11
Bridport,"5,734",VT,Addison,43.95,-73.35
Bristol,"5,443",VT,Addison,44.15,-73.07
East Middlebury,"5,740",VT,Addison,43.97,-73.09
Ferrisburgh,"5,456",VT,Addison,44.21,-73.25
Granville,"5,747",VT,Addison,43.98,-72.82
Hancock,"5,748",VT,Addison,43.91,-72.91
Middlebury,"5,753",VT,Addison,43.99,-73.17
Monkton,"5,469",VT,Addison,44.24,-73.13
New Haven,"5,472",VT,Addison,44.11,-73.17
North Ferrisburgh,"5,473",VT,Addison,44.26,-73.21
Orwell,"5,760",VT,Addison,43.78,-73.29
Ripton,"5,766",VT,Addison,43.99,-73.02
Roxbury,"5,669",VT,Addison,44.08,-72.72
Salisbury,"5,769",VT,Addison,43.90,-73.10
Shoreham,"5,770",VT,Addison,43.89,-73.31
Starksboro,"5,487",VT,Addison,44.23,-73.02
Vergennes,"5,491",VT,Addison,44.13,-73.28
Whiting,"5,778",VT,Addison,43.89,-73.20
Aiken,"29,801",SC,Aiken,33.55,-81.72
Aiken,"29,802",SC,Aiken,33.56,-81.72
Aiken,"29,803",SC,Aiken,33.51,-81.70
Aiken,"29,804",SC,Aiken,33.54,-81.60
Aiken,"29,805",SC,Aiken,33.70,-81.65
