87,FileType=CSV,Version=1.0,SizeType=ASCII,output.pki,Primary Key Index,RecordCount=53
42,129,FieldsPerRecord=5,End_Header_Record,
30,ST,E Zip,W Zip,N Zip,S Zip,
08ðS,,,,,,
08ðS,,,,,,
08ðS,,,,,,
08ðS,,,,,,
08ðS,,,,,,
30,AL,36521,35754,35634,36521,
30,AR,72741,72419,72741,71748,
30,AZ,85376,85610,85376,85610,
30,CA,95490,92266,95913,92160,
30,CO,80479,80807,80479,81131,
26,CT,6512,6512,6512,6512,
30,DC,20241,20241,20241,20241,
30,FL,34264,33158,32277,33158,
30,GA,30161,31062,30510,31698,
30,HI,96837,96737,96817,96737,
30,IA,51244,52066,50478,51536,
30,IL,61536,60602,61108,62985,
30,IN,47854,47305,46350,47579,
30,KS,66937,67151,66937,67151,
30,KY,42444,41859,41073,42206,
30,LA,71461,70166,71447,70166,
26,MA,1585,2638,1752,2638,
30,MD,20837,20620,20837,20620,
26,ME,4022,4022,4022,4022,
30,MI,49088,48244,49752,49094,
30,MN,56563,55101,56521,56029,
30,MO,64444,63701,63441,63701,
30,MS,38769,38866,38866,39083,
30,MT,59732,59253,59253,59729,
30,NC,28692,27826,28692,28075,
30,ND,58703,58061,58703,58061,
30,NE,68735,68455,68735,68455,
26,NJ,8650,7626,7626,8650,
30,NM,88250,88124,88124,88250,
30,NY,14729,11756,12920,11756,
30,OH,45033,44444,44444,45115,
30,OK,73083,74354,74354,74761,
30,OR,97134,97833,97875,97377,
30,PA,15450,19047,17748,19139,
26,RI,2806,2806,2806,2806,
30,SC,29342,29936,29342,29936,
30,TN,38187,37701,37729,37317,
30,TX,79336,77059,75439,77059,
30,UT,84304,84304,84304,84304,
30,VA,24250,23464,22711,24566,
26,VT,5406,5406,5406,5406,
30,WA,98614,99155,99155,98614,
30,WI,54701,53952,54701,53952,
30,WV,25514,26285,26285,25630,
30,WY,83414,83116,83414,83116,
